Produit,Unité,Prix HT (EUR),TVA,Prix TTC (EUR)
 LIPTON CITRON VERT MENTHE,pce,11.85,5.50,12.5
7UP,pce,8.4,5.50,8.86
7UP CHERRY,pce,9.84,5.50,10.38
7UP MOJITO,pce,9.84,5.50,10.38
AGRUMES,pce,11.04,20.00,13.25
ASSURANCE MARITIME TOUS RISQUES SUR UNE VALEUR DE € ,Tonne,250,0.00,250
ASSURANCE VEHICULE 24H,pce,39,0.00,39
BETRAVE,pce,6.74,20.00,8.09
BILLET DE TRAIN,cm,65,0.00,65
BOISSONS ENVOI ET DÉDOUANEMENT PAR PALETTE,pce,500,0.00,500
CARBURANT ET PEAGES,pce,55,0.00,55
CAROTTE RÂPÉE,pce,5.94,20.00,7.13
CAROTTE RÂPÉE 2kg,pce,5.13,5.50,5.41
CARTON DE MADELEINE,pce,15.55,5.50,16.41
Coca cola 1L,pce,14.76,0.00,14.76
COCA COLA CHERY,pce,13.68,5.50,14.43
COCA COLA ORIGINAL,pce,13.92,5.50,14.69
Conteneur 20 pieds  Bordeaux - Longoni (2h de chargement en semaine),pce,3900,0.00,3900
Conteneur 40 pieds  Bordeaux - Longoni (3h de chargement en semaine),pce,0,0.00,0
COTATION 2O PIEDS BORDEAUX MAYOTTE ,pce,3500,0.00,3500
COTATION EXPORT FLAT FCL 40' FLAT RACK,pce,10166.67,20.00,12200
CRÈME DE COCO,pce,1.81,0.00,1.81
CRISTALINE 50CL 12PCES,pce,2,5.50,2.11
DÉDOUANEMENT ,cm,500,0.00,500
"DEPLACEMENT CHAUFFEUR (hors billet de train, carburant et péages-voir mon mail)",pce,200,0.00,200
"EAU 0,5L CRISTALINE 24 PCES",pce,3.99,5.50,4.21
"EAU 1,5L ECO PLUS PACKS DE 6",pce,0.92,5.50,0.97
"EAU PACK DE 6 EN 1,5L CRISTALINE",cm,1.39,5.50,1.47
"EAU PACK DE 6 EN 1,5L SOURCE DES PINS",pce,1.67,5.50,1.76
EAU PACK DE 6 EN 1L EVIAN,pce,2.67,5.50,2.82
ENLEVEMENT DOMICILE,h,0,0.00,0
ENLÈVEMENT MAGASIN PALETTE BOISSONS,pce,35,0.00,35
ENVOI + DEDOUANEMENT,pce,20,0.00,20
ENVOI ET DÉDOUANEMENT BOISSONS PAR PACK,pce,5,0.00,5
ENVOI ET DÉDOUANEMENT PALETTE D'EAU GRANDES BOUTEILLES,pce,300,0.00,300
ENVOI ET DÉDOUANEMENT PALETTE D'EAU PETITES BOUTEILLES,pce,350,0.00,350
ESSUIE TOUT PACK DE 8,pce,10.04,20.00,12.05
ESTIMATION DOUANE ,pce,10,0.00,10
ESTIMATION DOUANE SUR UNE VALEUR DE € (douane groupée),pce,0,0.00,0
FANTA,pce,11.19,5.50,11.81
FANTA CITRON,pce,11.19,5.50,11.81
FANTA EXOTIC,pce,12.84,5.50,13.55
FANTA MANGUE/FRUITS DE LA PASSION,pce,12.09,5.50,12.75
FANTA ORANGE,pce,12.11,5.50,12.78
FARINE 1KG PACKS DE 10,pce,8.7,5.50,9.18
FARINE 1KG PACKS DE 10 ROCHAMBEAU,pce,7.5,5.50,7.91
FARINE 25KG,pce,14.58,5.50,15.38
FARINE 25KG,pce,21.84,5.50,23.04
FRAIS DE DOSSIER,pce,45,0.00,45
FRAIS DE PAYAGE,km,22.83,20.00,27.4
